HREKG,PRESS,ARTCO2,MINVOL,VENTALV,HRBP,INTUBATION,CVP,LVEDVOLUME,PULMEMBOLUS,EXPCO2,FIO2,INSUFFANESTH,HRSAT,SAO2,DISCONNECT,TPR,CATECHOL,LVFAILURE,ANAPHYLAXIS,PVSAT,STROKEVOLUME,VENTLUNG,MINVOLSET,VENTTUBE,ERRCAUTER,HYPOVOLEMIA,ERRLOWOUTPUT,BP,KINKEDTUBE,PCWP,HR,HISTORY,PAP,VENTMACH,SHUNT,CO
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,LOW,HIGH,ZERO,LOW,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,TRUE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,LOW,LOW,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,LOW,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,LOW,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,LOW,LOW,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL
HIGH,NORMAL,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,NORMAL,HIGH
HIGH,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,ZERO,NORMAL,TRUE,HIGH,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,TRUE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,NORMAL,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,TRUE,TRUE,FALSE,LOW,FALSE,HIGH,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,LOW
NORMAL,HIGH,HIGH,LOW,LOW,HIGH,ESOPHAGEAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,TRUE,TRUE,FALSE,LOW,FALSE,LOW,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,HIGH,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,HIGH,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,LOW,LOW,HIGH,ONESIDED,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,LOW,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,NORMAL,HIGH,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,LOW,LOW,HIGH,ESOPHAGEAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,HIGH,TRUE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,TRUE,FALSE,HIGH,LOW,LOW,HIGH,HIGH,FALSE,FALSE,FALSE,LOW,FALSE,LOW,HIGH,FALSE,NORMAL,HIGH,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,LOW,HIGH,ESOPHAGEAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,LOW,NORMAL,LOW,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,HIGH,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,LOW,LOW,HIGH,ESOPHAGEAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,HIGH,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,TRUE,FALSE,HIGH,LOW,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,LOW,HIGH,TRUE,NORMAL,ZERO,NORMAL,LOW
NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,ZERO,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,TRUE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,ZERO,NORMAL,NORMAL
HIGH,NORMAL,NORMAL,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,HIGH,HIGH,NORMAL,FALSE,FALSE,FALSE,HIGH,FALSE,LOW,HIGH,FALSE,NORMAL,HIGH,HIGH,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,LOW,NORMAL,ZERO,TRUE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,NORMAL,LOW
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,FALSE,LOW,LOW,FALSE,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,FALSE,NORMAL,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,HIGH,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,TRUE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,LOW,NORMAL,NORMAL,HIGH
NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,LOW,ZERO,TRUE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH
LOW,HIGH,HIGH,ZERO,ZERO,LOW,NORMAL,HIGH,HIGH,FALSE,LOW,LOW,FALSE,LOW,LOW,FALSE,NORMAL,NORMAL,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,NORMAL,FALSE,HIGH,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,TRUE,FALSE,HIGH,LOW,LOW,HIGH,ZERO,FALSE,TRUE,FALSE,NORMAL,FALSE,LOW,NORMAL,TRUE,NORMAL,ZERO,NORMAL,LOW
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,LOW,LOW,ZERO,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,NORMAL,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,TRUE,LOW,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,NORMAL,FALSE,NORMAL,NORMAL,HIGH,NORMAL
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
LOW,HIGH,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,ZERO,LOW,FALSE,LOW,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,TRUE,LOW,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,ZERO,FALSE,TRUE,FALSE,LOW,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
NORMAL,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,LOW,TRUE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
